Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
United States of America,Grants Pass,29,Good,1,Good,29,Good,2,Good,27,Good,42.4333,-123.3317
,Granville,30,Good,1,Good,30,Good,3,Good,25,Good,48.8381,-1.5869
Mexico,Guasave,35,Good,1,Good,22,Good,1,Good,35,Good,25.5744,-108.4706
Germany,Guben,37,Good,1,Good,21,Good,4,Good,37,Good,51.9533,14.7167
Cameroon,Guider,76,Moderate,3,Good,8,Good,1,Good,76,Moderate,9.9342,13.9486
China,Guilin,90,Moderate,3,Good,46,Good,3,Good,90,Moderate,25.2819,110.2864
France,Guipavas,34,Good,1,Good,26,Good,9,Good,34,Good,48.4336,-4.4008
United States of America,Fort Walton Beach,65,Moderate,1,Good,30,Good,1,Good,65,Moderate,30.4255,-86.6222
France,Fosses,29,Good,0,Good,28,Good,2,Good,29,Good,49.0981,2.5067
United States of America,Fountain Hills,37,Good,1,Good,27,Good,8,Good,37,Good,33.6073,-111.7398
United States of America,Fountain,72,Moderate,1,Good,29,Good,3,Good,72,Moderate,38.6886,-104.6829
Brazil,Francisco Morato,169,Unhealthy,7,Good,0,Good,21,Good,169,Unhealthy,-23.2817,-46.7425
Germany,Freiberg,36,Good,1,Good,25,Good,3,Good,36,Good,50.9119,13.3428
United States of America,Front Royal,46,Good,1,Good,37,Good,2,Good,46,Good,38.926,-78.1838
Germany,Gaggenau,29,Good,0,Good,29,Good,2,Good,26,Good,48.8039,8.3194
Israel,Gan Yavne,77,Moderate,1,Good,43,Good,6,Good,77,Moderate,31.7886,34.7053
Italy,Gela,53,Moderate,1,Good,38,Good,2,Good,53,Moderate,37.0667,14.25
Netherlands,Gennep,30,Good,0,Good,25,Good,3,Good,30,Good,51.7,5.9667
Germany,Genthin,31,Good,0,Good,30,Good,1,Good,31,Good,52.4,12.1667
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good,6.8058,-58.1508
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good,-7.9286,-14.4119
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good,30.666,-97.6966
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good,38.2247,-84.5487
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good,31.9849,-81.226
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good,-18.3,143.55
Germany,Gera,30,Good,0,Good,28,Good,2,Good,30,Good,50.8806,12.0833
United States of America,Lake Jackson,25,Good,0,Good,24,Good,2,Good,25,Good,29.0516,-95.4521
United States of America,Lakeside,57,Moderate,2,Good,22,Good,14,Good,57,Moderate,30.1356,-81.7674
United States of America,Lakeside,57,Moderate,2,Good,22,Good,14,Good,57,Moderate,32.856,-116.904
United States of America,Lakeside,57,Moderate,2,Good,22,Good,14,Good,57,Moderate,37.6132,-77.4768
Thailand,Lam Luk Ka,66,Moderate,1,Good,28,Good,1,Good,66,Moderate,13.9297,100.7375
Netherlands,Leusden,33,Good,0,Good,33,Good,1,Good,26,Good,52.1333,5.4333
United Kingdom of Great Britain and Northern Ireland,Lewes,37,Good,1,Good,12,Good,13,Good,37,Good,50.8747,0.0117
Philippines,Lianga,50,Good,1,Good,20,Good,0,Good,50,Good,8.633,126.0932
France,Libourne,46,Good,1,Good,26,Good,2,Good,46,Good,44.92,-0.24
Czechia,Litovel,49,Good,1,Good,24,Good,2,Good,49,Good,49.7012,17.0762
Belgium,Lokeren,31,Good,0,Good,31,Good,2,Good,31,Good,51.1,3.9833
Belgium,Londerzeel,34,Good,0,Good,29,Good,3,Good,34,Good,51,4.3
Senegal,Louga,176,Unhealthy,2,Good,21,Good,3,Good,176,Unhealthy,15.6167,-16.2167
Poland,Lubin,35,Good,1,Good,20,Good,3,Good,35,Good,51.4,16.2
Poland,Lublin,32,Good,1,Good,32,Good,1,Good,28,Good,51.25,22.5667
Philippines,Lucena,32,Good,1,Good,29,Good,0,Good,32,Good,13.9333,121.6167
Philippines,Lucena,32,Good,1,Good,29,Good,0,Good,32,Good,37.4,-4.4833
Philippines,Lucena,32,Good,1,Good,29,Good,0,Good,32,Good,10.8833,122.6
Philippines,Lucena,32,Good,1,Good,29,Good,0,Good,32,Good,-6.9,-34.8689
Lesotho,Mafeteng,117,Unhealthy for Sensitive Groups,4,Good,14,Good,7,Good,117,Unhealthy for Sensitive Groups,-29.8167,27.25
United States of America,Magnolia,56,Moderate,1,Good,25,Good,2,Good,56,Moderate,33.2775,-93.2261
India,Maihar,171,Unhealthy,1,Good,36,Good,0,Good,171,Unhealthy,24.262,80.761
United States of America,Maitland,53,Moderate,1,Good,18,Good,14,Good,53,Moderate,28.6295,-81.3718
United States of America,Maitland,53,Moderate,1,Good,18,Good,14,Good,53,Moderate,-32.7167,151.55
France,Malakoff,40,Good,1,Good,26,Good,3,Good,40,Good,48.8169,2.2944
Benin,Malanville,34,Good,1,Good,18,Good,1,Good,34,Good,11.8667,3.3833
Italy,Malnate,69,Moderate,1,Good,22,Good,6,Good,69,Moderate,45.8,8.8833
Democratic Republic of the Congo,Manono,74,Moderate,2,Good,23,Good,1,Good,74,Moderate,-7.2947,27.4545
Venezuela (Bolivarian Republic of),Maracaibo,118,Unhealthy for Sensitive Groups,1,Good,17,Good,4,Good,118,Unhealthy for Sensitive Groups,10.6333,-71.6333
Germany,Hagen,30,Good,0,Good,30,Good,1,Good,25,Good,51.3667,7.4833
France,Halluin,35,Good,0,Good,28,Good,2,Good,35,Good,50.7836,3.1256
Germany,Hamburg,34,Good,0,Good,28,Good,2,Good,34,Good,53.55,10
Germany,Hamburg,34,Good,0,Good,28,Good,2,Good,34,Good,42.7394,-78.8581
United States of America,Hanahan,73,Moderate,2,Good,35,Good,8,Good,73,Moderate,32.9302,-80.0027
Bulgaria,Harmanli,40,Good,1,Good,40,Good,1,Good,24,Good,41.9333,25.9
Pakistan,Harunabad,500,Hazardous,1,Good,43,Good,0,Good,443,Hazardous,29.613,73.1409
Germany,Hattingen,28,Good,0,Good,27,Good,2,Good,28,Good,51.3992,7.1858
United States of America,Hauppauge,52,Moderate,1,Good,27,Good,12,Good,52,Moderate,40.8211,-73.2109
United States of America,Hayward,70,Moderate,2,Good,20,Good,20,Good,70,Moderate,37.6328,-122.0766
Finland,Heinola,33,Good,0,Good,33,Good,0,Good,5,Good,61.2,26.0333
Japan,Hekinan,59,Moderate,1,Good,59,Moderate,1,Good,23,Good,34.8847,136.9934
Germany,Hemsbach,30,Good,0,Good,30,Good,1,Good,24,Good,49.5903,8.6564
China,Hengyang,169,Unhealthy,4,Good,169,Unhealthy,3,Good,150,Unhealthy,26.8968,112.5857
United States of America,Hoboken,61,Moderate,1,Good,27,Good,11,Good,61,Moderate,40.7452,-74.0281
United States of America,Hoboken,61,Moderate,1,Good,27,Good,11,Good,61,Moderate,51.1667,4.3667
Somalia,Hobyo,58,Moderate,0,Good,21,Good,0,Good,58,Moderate,5.3514,48.5256
Solomon Islands,Honiara,18,Good,0,Good,18,Good,0,Good,6,Good,-9.4319,159.9556
Paraguay,Horqueta,20,Good,0,Good,20,Good,0,Good,20,Good,-23.3442,-57.0436
Armenia,Hrazdan,31,Good,0,Good,31,Good,0,Good,30,Good,40.5,44.7667
China,Hsinchu,138,Unhealthy for Sensitive Groups,3,Good,138,Unhealthy for Sensitive Groups,2,Good,112,Unhealthy for Sensitive Groups,24.8167,120.9833
Peru,Huaura,39,Good,1,Good,19,Good,1,Good,39,Good,-11.1,-77.6
Zimbabwe,Hwange,44,Good,0,Good,17,Good,0,Good,44,Good,-18.3647,26.5
Japan,Ichihara,74,Moderate,1,Good,74,Moderate,1,Good,35,Good,35.4981,140.1154
India,Khed,95,Moderate,0,Good,22,Good,0,Good,95,Moderate,17.7189,73.3969
Russian Federation,Khimki,40,Good,1,Good,30,Good,8,Good,40,Good,55.8892,37.445
Ukraine,Khotyn,75,Moderate,1,Good,37,Good,1,Good,75,Moderate,48.5078,26.486
Turkey,Kilis,64,Moderate,1,Good,41,Good,0,Good,64,Moderate,36.7167,37.1167
United States of America,Killeen,40,Good,0,Good,21,Good,1,Good,40,Good,31.0753,-97.7297
Austria,Klosterneuburg,59,Moderate,1,Good,30,Good,3,Good,59,Moderate,48.3042,16.3167
Croatia,Knin,48,Good,1,Good,48,Good,0,Good,35,Good,44.0414,16.1986
Papua New Guinea,Kokopo,104,Unhealthy for Sensitive Groups,0,Good,22,Good,0,Good,104,Unhealthy for Sensitive Groups,-4.35,152.2736
Russian Federation,Kola,30,Good,1,Good,30,Good,0,Good,10,Good,22.43,87.87
Russian Federation,Kola,30,Good,1,Good,30,Good,0,Good,10,Good,68.8833,33.0833
Russian Federation,Kotelnikovo,39,Good,1,Good,39,Good,0,Good,20,Good,47.6333,43.15
Chad,Koumra,59,Moderate,2,Good,6,Good,0,Good,59,Moderate,8.91,17.55
Russian Federation,Krasnovishersk,29,Good,1,Good,28,Good,0,Good,29,Good,60.4167,57.1
Russian Federation,Krasnyy Yar,34,Good,1,Good,34,Good,1,Good,24,Good,46.5331,48.3456
Russian Federation,Krasnyy Yar,34,Good,1,Good,34,Good,1,Good,24,Good,53.3239,69.2525
Germany,Kronach,36,Good,1,Good,26,Good,2,Good,36,Good,50.2411,11.3281
Germany,Kronberg,30,Good,0,Good,30,Good,1,Good,27,Good,50.1833,8.5
Russian Federation,Kulebaki,48,Good,1,Good,33,Good,1,Good,48,Good,55.4167,42.5333
Japan,Kushiro,33,Good,1,Good,33,Good,0,Good,9,Good,42.9833,144.3833
Japan,Kushiro,33,Good,1,Good,33,Good,0,Good,9,Good,42.9961,144.4661
Mexico,La Barca,37,Good,1,Good,8,Good,3,Good,37,Good,20.2833,-102.5667
France,La Crau,60,Moderate,1,Good,30,Good,6,Good,60,Moderate,43.1497,6.0742
Honduras,La Entrada,55,Moderate,2,Good,5,Good,4,Good,55,Moderate,15.05,-88.7333
United States of America,La Presa,58,Moderate,2,Good,14,Good,19,Good,58,Moderate,32.711,-117.0027
Germany,Ilsede,41,Good,0,Good,28,Good,2,Good,41,Good,52.2667,10.1833
Brazil,Imbituba,31,Good,1,Good,15,Good,1,Good,31,Good,-28.24,-48.67
Brazil,Imbituva,24,Good,1,Good,8,Good,0,Good,24,Good,-25.23,-50.6044
Japan,Inagi,78,Moderate,1,Good,78,Moderate,3,Good,51,Moderate,35.6379,139.5046
Spain,Inca,43,Good,1,Good,43,Good,0,Good,30,Good,39.7167,2.9167
India,Indore,150,Unhealthy,1,Good,30,Good,0,Good,150,Unhealthy,22.7167,75.8472
United Kingdom of Great Britain and Northern Ireland,Inverurie,31,Good,1,Good,31,Good,2,Good,25,Good,57.28,-2.38
Japan,Ishigaki,116,Unhealthy for Sensitive Groups,2,Good,116,Unhealthy for Sensitive Groups,0,Good,64,Moderate,24.3406,124.1556
Spain,Jaen,36,Good,1,Good,17,Good,3,Good,36,Good,15.3392,120.9069
Mexico,Jilotepec,95,Moderate,2,Good,9,Good,9,Good,95,Moderate,19.9519,-99.5328
Mexico,Jilotepec,95,Moderate,2,Good,9,Good,9,Good,95,Moderate,19.6113,-96.9224
United Republic of Tanzania,Kabanga,171,Unhealthy,6,Good,10,Good,3,Good,171,Unhealthy,-2.9022,30.4986
Finland,Kajaani,32,Good,1,Good,32,Good,0,Good,24,Good,64.2311,27.7194
India,Kalavai,59,Moderate,1,Good,32,Good,0,Good,59,Moderate,12.7691,79.4196
Russian Federation,Kalyazin,24,Good,1,Good,24,Good,0,Good,19,Good,57.2333,37.8833
Ukraine,Kalynivka,78,Moderate,1,Good,36,Good,1,Good,78,Moderate,49.4472,28.5231
Cambodia,Kampot,59,Moderate,1,Good,27,Good,0,Good,59,Moderate,10.6,104.1667
Finland,Kangasala,30,Good,1,Good,30,Good,2,Good,14,Good,61.4639,24.065
India,Karambakkudi,84,Moderate,1,Good,40,Good,1,Good,84,Moderate,10.4587,79.141
Japan,Kawaguchi,75,Moderate,1,Good,75,Moderate,1,Good,34,Good,35.8077,139.7241
United States of America,Kearns,54,Moderate,1,Good,6,Good,14,Good,54,Moderate,40.6519,-112.0095
Belgium,Keerbergen,39,Good,1,Good,23,Good,5,Good,39,Good,51.0031,4.6311
United States of America,Kerrville,36,Good,0,Good,20,Good,1,Good,36,Good,30.0398,-99.132
United States of America,Kettering,53,Moderate,1,Good,31,Good,6,Good,53,Moderate,52.3931,-0.7229
United States of America,Kettering,53,Moderate,1,Good,31,Good,6,Good,53,Moderate,39.6956,-84.1494
United States of America,Kettering,53,Moderate,1,Good,31,Good,6,Good,53,Moderate,38.8888,-76.7889
India,Khammam,112,Unhealthy for Sensitive Groups,1,Good,29,Good,2,Good,112,Unhealthy for Sensitive Groups,17.2473,80.1514
India,Khandwa,130,Unhealthy for Sensitive Groups,0,Good,31,Good,0,Good,130,Unhealthy for Sensitive Groups,21.82,76.35
Italy,Marsciano,40,Good,1,Good,40,Good,2,Good,23,Good,42.9167,12.3333
France,Marseille,59,Moderate,1,Good,37,Good,6,Good,59,Moderate,43.2964,5.37
United States of America,Mashpee,29,Good,1,Good,29,Good,2,Good,17,Good,41.6178,-70.4908
Uganda,Masindi,62,Moderate,2,Good,17,Good,0,Good,62,Moderate,1.6836,31.7222
Chad,Massakory,65,Moderate,2,Good,23,Good,1,Good,65,Moderate,13,15.7333
Philippines,Medellin,78,Moderate,1,Good,31,Good,0,Good,78,Moderate,11.1286,123.9622
Cuba,Media Luna,56,Moderate,1,Good,25,Good,1,Good,56,Moderate,20.1444,-77.4361
Colombia,Melgar,121,Unhealthy for Sensitive Groups,4,Good,7,Good,8,Good,121,Unhealthy for Sensitive Groups,4.2039,-74.6428
Argentina,Mercedes,14,Good,1,Good,14,Good,0,Good,3,Good,-33.25,-58.0333
Argentina,Mercedes,14,Good,1,Good,14,Good,0,Good,3,Good,-34.65,-59.4333
Argentina,Mercedes,14,Good,1,Good,14,Good,0,Good,3,Good,14.1093,123.0109
Argentina,Mercedes,14,Good,1,Good,14,Good,0,Good,3,Good,-29.2,-58.0833
Argentina,Mercedes,14,Good,1,Good,14,Good,0,Good,3,Good,26.1533,-97.9128
United States of America,Merriam,95,Moderate,1,Good,23,Good,10,Good,95,Moderate,39.0186,-94.6933
United States of America,Merrill,52,Moderate,1,Good,33,Good,3,Good,52,Moderate,45.182,-89.6994
Netherlands,Middelharnis,34,Good,0,Good,34,Good,2,Good,32,Good,51.75,4.17
Turkey,Midyat,72,Moderate,1,Good,42,Good,1,Good,72,Moderate,37.4167,41.3697
Brazil,Miguel Alves,47,Good,1,Good,7,Good,1,Good,47,Good,-4.1658,-42.895
Uruguay,Minas,22,Good,0,Good,19,Good,0,Good,22,Good,-34.3667,-55.2333
Uruguay,Minas,22,Good,0,Good,19,Good,0,Good,22,Good,21.4894,-77.605
Brazil,Miranorte,41,Good,0,Good,11,Good,0,Good,41,Good,-9.5289,-48.59
India,Moga,159,Unhealthy,2,Good,134,Unhealthy for Sensitive Groups,1,Good,159,Unhealthy,30.822,75.174
Italy,Mogliano Veneto,89,Moderate,2,Good,33,Good,5,Good,89,Moderate,45.5619,12.2364
France,Montauban,32,Good,1,Good,32,Good,2,Good,32,Good,44.0181,1.3558
Belgium,Mortsel,40,Good,1,Good,29,Good,3,Good,40,Good,51.1667,4.4667
United States of America,Moscow,30,Good,1,Good,19,Good,4,Good,30,Good,55.7558,37.6178
United States of America,Moscow,30,Good,1,Good,19,Good,4,Good,30,Good,46.7308,-116.9986
India,Mudhol,73,Moderate,0,Good,24,Good,0,Good,73,Moderate,18.9667,77.9167
India,Mudhol,73,Moderate,0,Good,24,Good,0,Good,73,Moderate,15.6406,75.9531
India,Mudhol,73,Moderate,0,Good,24,Good,0,Good,73,Moderate,16.35,75.2833
Mexico,Muna,59,Moderate,1,Good,21,Good,1,Good,59,Moderate,20.48,-89.72
Mexico,Naranjos,92,Moderate,2,Good,34,Good,1,Good,92,Moderate,21.3472,-97.6833
Romania,Nehoiu,52,Moderate,1,Good,40,Good,0,Good,52,Moderate,45.3531,26.305
Germany,Neustadt,33,Good,0,Good,33,Good,0,Good,32,Good,49.35,8.15
Germany,Neustadt,33,Good,0,Good,33,Good,0,Good,32,Good,49.5967,10.6089
Germany,Neustadt,33,Good,0,Good,33,Good,0,Good,32,Good,51.0239,14.2167
Germany,Neustadt,33,Good,0,Good,33,Good,0,Good,32,Good,50.85,9.1167
Germany,Neustadt,33,Good,0,Good,33,Good,0,Good,32,Good,50.7333,11.75
United States of America,New Lenox,54,Moderate,2,Good,30,Good,11,Good,54,Moderate,41.5095,-87.9703
United Kingdom of Great Britain and Northern Ireland,Newburn,31,Good,0,Good,31,Good,2,Good,21,Good,54.983,-1.743
United Kingdom of Great Britain and Northern Ireland,Newbury,50,Good,1,Good,22,Good,7,Good,50,Good,51.401,-1.323
Republic of Moldova,Nisporeni,53,Moderate,1,Good,36,Good,1,Good,53,Moderate,47.0833,28.1833
Japan,Nisshin,44,Good,1,Good,44,Good,1,Good,16,Good,35.132,137.0394
Russian Federation,Nizhniye Sergi,37,Good,1,Good,35,Good,0,Good,37,Good,56.6667,59.3167
Germany,Nohfelden,54,Moderate,1,Good,30,Good,3,Good,54,Moderate,49.5867,7.1428
,Kingstown,163,Unhealthy,0,Good,25,Good,0,Good,163,Unhealthy,13.1578,-61.225
United States of America,Klamath Falls,40,Good,1,Good,7,Good,6,Good,40,Good,42.2195,-121.7754
Pakistan,Kohat,101,Unhealthy for Sensitive Groups,1,Good,62,Moderate,0,Good,101,Unhealthy for Sensitive Groups,33.5833,71.4333
China,Korla,160,Unhealthy,1,Good,45,Good,0,Good,160,Unhealthy,41.7259,86.1746
Ukraine,Korostyshiv,89,Moderate,1,Good,39,Good,0,Good,89,Moderate,50.3186,29.0592
Guinea,Kouroussa,56,Moderate,1,Good,13,Good,0,Good,56,Moderate,10.653,-9.892
United States of America,Littleton,74,Moderate,1,Good,8,Good,13,Good,74,Moderate,39.5915,-105.0188
United States of America,Littleton,74,Moderate,1,Good,8,Good,13,Good,74,Moderate,42.535,-71.4891
Italy,Lizzano,48,Good,1,Good,48,Good,3,Good,36,Good,40.3919,17.4483
Bolivia (Plurinational State of),Llallagua,12,Good,0,Good,12,Good,0,Good,11,Good,-18.4167,-66.5833
United States of America,Lochearn,42,Good,1,Good,28,Good,10,Good,42,Good,39.3461,-76.7307
Finland,Lohja,27,Good,1,Good,27,Good,4,Good,19,Good,60.25,24.0667
Myanmar,Loikaw,15,Good,0,Good,15,Good,0,Good,10,Good,19.6742,97.2092
Italy,Lonate Pozzolo,82,Moderate,1,Good,42,Good,2,Good,82,Moderate,45.6,8.75
Chile,Lota,67,Moderate,2,Good,10,Good,8,Good,67,Moderate,-37.0833,-73.1667
Angola,Lubango,40,Good,1,Good,14,Good,0,Good,40,Good,-14.9167,13.5
Democratic Republic of the Congo,Luebo,90,Moderate,4,Good,20,Good,0,Good,90,Moderate,-5.35,21.4167
India,Lumding,43,Good,2,Good,21,Good,0,Good,43,Good,25.75,93.17
India,Mahendragarh,500,Hazardous,1,Good,42,Good,0,Good,435,Hazardous,28.28,76.15
Turkey,Malatya,55,Moderate,1,Good,29,Good,0,Good,55,Moderate,38.3486,38.3194
Philippines,Manay,25,Good,0,Good,15,Good,0,Good,25,Good,7.2108,126.5328
Kingdom of Eswatini,Manzini,75,Moderate,3,Good,15,Good,1,Good,75,Moderate,-26.4833,31.3667
Ukraine,Krasnodon,37,Good,1,Good,37,Good,0,Good,13,Good,48.3,39.7333
India,Kunigal,50,Good,0,Good,21,Good,0,Good,50,Good,13.0232,77.0252
Spain,La Carolina,34,Good,1,Good,17,Good,3,Good,34,Good,38.2667,-3.6167
Spain,La Garriga,49,Good,1,Good,30,Good,5,Good,49,Good,41.6804,2.2833
Spain,La Llagosta,53,Moderate,1,Good,26,Good,7,Good,53,Moderate,41.5156,2.1928
United States of America,Lady Lake,72,Moderate,1,Good,7,Good,14,Good,72,Moderate,28.9241,-81.9299
Malaysia,Lahad Datu,48,Good,1,Good,15,Good,0,Good,48,Good,5.03,118.34
Belgium,Lanaken,43,Good,1,Good,25,Good,4,Good,43,Good,50.8925,5.6497
France,Lannion,41,Good,1,Good,26,Good,4,Good,41,Good,48.7325,-3.4553
Italy,Lanuvio,40,Good,1,Good,40,Good,2,Good,20,Good,41.6833,12.7
Mexico,Las Margaritas,61,Moderate,1,Good,8,Good,4,Good,61,Moderate,16.3667,-91.7333
Belgium,Lede,42,Good,1,Good,28,Good,4,Good,42,Good,50.9667,3.9833
Italy,Lentini,67,Moderate,1,Good,36,Good,3,Good,67,Moderate,37.2833,15
United States of America,Leominster,30,Good,1,Good,30,Good,3,Good,22,Good,42.5209,-71.7717
United States of America,Leominster,30,Good,1,Good,30,Good,3,Good,22,Good,52.2282,-2.7385
Mexico,Leon,50,Good,1,Good,14,Good,3,Good,50,Good,10.7808,122.3894
Bulgaria,Levski,52,Moderate,1,Good,36,Good,1,Good,52,Moderate,43.3667,25.1333
China,Liancheng,58,Moderate,1,Good,28,Good,2,Good,58,Moderate,24.0515,105.0573
United States of America,Lighthouse Point,58,Moderate,1,Good,14,Good,10,Good,58,Moderate,26.2785,-80.0891
Malawi,Lilongwe,33,Good,0,Good,19,Good,0,Good,33,Good,-13.9833,33.7833
Nigeria,Kano,138,Unhealthy for Sensitive Groups,4,Good,25,Good,4,Good,138,Unhealthy for Sensitive Groups,12,8.5167
Russian Federation,Karabash,36,Good,1,Good,36,Good,0,Good,33,Good,55.4833,60.2167
India,Kareli,169,Unhealthy,1,Good,36,Good,0,Good,169,Unhealthy,22.9153,79.0638
United States of America,Kaukauna,49,Good,1,Good,31,Good,6,Good,49,Good,44.2773,-88.2641
Finland,Kerava,23,Good,1,Good,23,Good,6,Good,18,Good,60.4,25.1
Poland,Jawor,63,Moderate,1,Good,24,Good,3,Good,63,Moderate,51.05,16.2
France,Joigny,31,Good,1,Good,31,Good,1,Good,21,Good,47.9822,3.3972
Germany,Jork,34,Good,0,Good,34,Good,1,Good,31,Good,53.5344,9.6817
Zambia,Kafue,36,Good,0,Good,16,Good,0,Good,36,Good,-15.7667,28.1833
United States of America,Mountlake Terrace,49,Good,1,Good,25,Good,11,Good,49,Good,47.7921,-122.3077
Morocco,Mrirt,59,Moderate,2,Good,16,Good,4,Good,59,Moderate,33.1667,-5.5667
India,Muktsar,180,Unhealthy,2,Good,151,Unhealthy,1,Good,180,Unhealthy,30.4743,74.5166
Ireland,Mullingar,27,Good,0,Good,27,Good,0,Good,13,Good,53.5224,-7.3378
Pakistan,Multan,194,Unhealthy,3,Good,176,Unhealthy,2,Good,194,Unhealthy,30.1978,71.4697
Ghana,Mumford,74,Moderate,2,Good,17,Good,1,Good,74,Moderate,5.2625,-0.7578
Japan,Murayama,35,Good,1,Good,35,Good,1,Good,13,Good,38.4833,140.3833
Spain,Murcia,29,Good,1,Good,29,Good,2,Good,20,Good,37.9861,-1.1303
Spain,Murcia,29,Good,1,Good,29,Good,2,Good,20,Good,10.6,123.0333
India,Musiri,54,Moderate,0,Good,25,Good,0,Good,54,Moderate,10.9333,78.45
United States of America,Muskego,58,Moderate,2,Good,18,Good,21,Good,58,Moderate,42.886,-88.1291
Netherlands,Naarden,42,Good,0,Good,35,Good,1,Good,42,Good,52.2953,5.1622
,Nanakuli,30,Good,0,Good,27,Good,0,Good,30,Good,21.3892,-158.1445
China,Nantong,206,Very Unhealthy,7,Good,206,Very Unhealthy,9,Good,167,Unhealthy,31.9829,120.8873
France,Jeumont,51,Moderate,1,Good,22,Good,5,Good,51,Moderate,50.2944,4.1014
India,Kalanaur,157,Unhealthy,3,Good,157,Unhealthy,1,Good,126,Unhealthy for Sensitive Groups,32.02,75.15
India,Lala,87,Moderate,1,Good,36,Good,0,Good,87,Moderate,7.9667,123.75
Thailand,Lang Suan,32,Good,0,Good,16,Good,0,Good,32,Good,9.95,99.0667
,Lavagna,55,Moderate,1,Good,38,Good,2,Good,55,Moderate,44.3167,9.3333
United States of America,League City,45,Good,1,Good,22,Good,5,Good,45,Good,29.4874,-95.1087
Ukraine,Lebedyn,55,Moderate,1,Good,40,Good,1,Good,55,Moderate,50.5831,34.4823
United States of America,Lennox,114,Unhealthy for Sensitive Groups,3,Good,8,Good,37,Good,114,Unhealthy for Sensitive Groups,33.938,-118.3586
Slovakia,Levice,50,Good,1,Good,31,Good,1,Good,50,Good,48.2164,18.6081
New Zealand,Levin,13,Good,0,Good,13,Good,1,Good,12,Good,-40.6219,175.2867
Germany,Limburg,33,Good,1,Good,33,Good,2,Good,30,Good,50.3833,8.0667
Sweden,Lindome,38,Good,0,Good,38,Good,1,Good,19,Good,57.5667,12.1
Italy,Lissone,33,Good,1,Good,33,Good,2,Good,23,Good,45.6167,9.25
United States of America,Lockhart,47,Good,1,Good,21,Good,2,Good,47,Good,29.8785,-97.6831
United States of America,Lockhart,47,Good,1,Good,21,Good,2,Good,47,Good,28.627,-81.4354
Germany,Lohmar,33,Good,1,Good,33,Good,2,Good,29,Good,50.8167,7.2167
China,Loudi,99,Moderate,4,Good,99,Moderate,5,Good,97,Moderate,27.7378,111.9974
Angola,Luena,66,Moderate,1,Good,22,Good,0,Good,66,Moderate,-11.7918,19.9062
Belarus,Lyuban,52,Moderate,1,Good,28,Good,1,Good,52,Moderate,52.7819,28.0525
Russian Federation,Lyudinovo,70,Moderate,1,Good,23,Good,2,Good,70,Moderate,53.8667,34.4333
Netherlands,Maassluis,38,Good,1,Good,27,Good,4,Good,38,Good,51.9333,4.2333
Guinea,Macenta,32,Good,1,Good,14,Good,0,Good,32,Good,8.5504,-9.48
United States of America,Machesney Park,72,Moderate,3,Good,0,Good,10,Good,72,Moderate,42.3666,-89.0266
Germany,Mainburg,29,Good,0,Good,28,Good,1,Good,29,Good,48.65,11.7833
Indonesia,Malang,67,Moderate,1,Good,36,Good,0,Good,67,Moderate,-7.98,112.62
Philippines,Manapla,54,Moderate,1,Good,22,Good,0,Good,54,Moderate,10.958,123.123
Italy,Manfredonia,49,Good,1,Good,49,Good,0,Good,36,Good,41.6333,15.9167
Spain,Maracena,32,Good,1,Good,32,Good,1,Good,15,Good,37.2,-3.6333
Philippines,Margosatubig,17,Good,0,Good,16,Good,0,Good,17,Good,7.5783,123.1659
Russian Federation,Kotelnich,33,Good,1,Good,33,Good,0,Good,10,Good,58.3078,48.3181
Russian Federation,Krasnodar,44,Good,1,Good,44,Good,4,Good,31,Good,45.0333,38.9667
Russian Federation,Krasnogorsk,61,Moderate,1,Good,24,Good,10,Good,61,Moderate,55.8217,37.3386
Russian Federation,Krasnogorsk,61,Moderate,1,Good,24,Good,10,Good,61,Moderate,48.4172,142.0869
Russian Federation,Krasnokamsk,25,Good,1,Good,25,Good,0,Good,19,Good,58.0833,55.6833
Norway,Kristiansand,52,Moderate,0,Good,34,Good,1,Good,52,Moderate,58.1472,7.9972
Russian Federation,Kurtamysh,31,Good,1,Good,31,Good,0,Good,31,Good,54.9167,64.4333
Belgium,Kuurne,38,Good,1,Good,23,Good,3,Good,38,Good,50.8519,3.2861
France,La Madeleine,38,Good,1,Good,23,Good,3,Good,38,Good,50.6558,3.071
Mexico,La Piedad,52,Moderate,1,Good,6,Good,5,Good,52,Moderate,20.3333,-102.0167
,Ladispoli,48,Good,1,Good,48,Good,2,Good,34,Good,41.9544,12.0742
Portugal,Marinha Grande,40,Good,0,Good,29,Good,1,Good,40,Good,39.75,-8.9333
Morocco,Martil,39,Good,1,Good,39,Good,4,Good,38,Good,35.6167,-5.2667
Indonesia,Mataram,34,Good,1,Good,25,Good,0,Good,34,Good,-8.5833,116.1167
